Product Name,Product Category,Buyer ID,Date,Product Price,Refund on Return,Refunded item count,Purchased Item Count
TSH,Product P,1000661,10/12/2018,0,-72.22,1,0
TSH,Product P,1000661,23/11/2018,79.17,0,0,1
WHX,Product P,1000661,10/12/2018,0,-72.23,1,0
YYI,Product P,1000661,23/11/2018,79.17,0,0,1
WHX,Product P,1000661,23/11/2018,79.19,0,0,1
LQS,Product B,1001914,23/11/2018,82.5,0,0,1
NMA,Product H,1002167,18/01/2019,74.17,0,0,1
TSH,Product P,1002167,8/3/2019,55,0,0,1
KNB,Product P,1002167,11/1/2019,0,-55.63,1,0
YMR,Product W,1002167,25/11/2018,82.5,0,0,1
AYN,Product H,1002387,17/03/2019,74.17,0,0,1
ELV,Product H,1002419,25/01/2019,0,-41.58,1,0
ELV,Product H,1002419,6/1/2019,51.67,0,0,1
AYN,Product P,1002419,6/1/2019,55,0,0,1
AYN,Product H,1003002,3/12/2018,0,-63.75,1,0
AYN,Product H,1003002,1/12/2018,74.17,0,0,1
AYN,Product H,1003002,3/12/2018,0,-63.75,1,0
WHX,Product P,1003002,1/12/2018,79.17,0,0,1
AYN,Product H,1003002,1/12/2018,74.17,0,0,1
OVT,Product H,1003161,10/1/2019,36.67,0,0,1
EXR,Product J,1003728,26/03/2019,99.16,0,0,1
YQX,Product F,1003728,23/11/2018,99.17,0,0,1
WHX,Product P,1003899,16/01/2019,0,-79.17,1,0
WHX,Product P,1003899,29/12/2018,79.17,0,0,1
WHX,Product P,1003899,16/11/2018,79.17,0,0,1
ZQV,Product W,1003899,17/11/2018,82.5,0,0,1
RJF,Product P,1003899,16/11/2018,79.17,0,0,1
LQS,Product B,1003899,16/11/2018,82.5,0,0,1
CLH,Product B,1003899,17/11/2018,82.5,0,0,1
OTH,Product P,1003899,2/3/2019,79.17,0,0,1
ZQV,Product W,1003899,2/1/2019,57.5,0,0,1
LQS,Product C,1003899,17/11/2018,82.5,0,0,1
CLH,Product B,1003899,28/11/2018,0,-66,1,0
LQS,Product C,1003899,17/11/2018,82.5,0,0,1
CLH,Product B,1003899,16/11/2018,82.5,0,0,1
QID,Product H,1003953,5/11/2018,0,-66.75,1,0
WHX,Product P,1003953,5/11/2018,0,-66.75,1,0
VXH,Product P,1004677,8/1/2019,55,0,0,1
RJF,Product P,1005158,22/01/2019,79.17,0,0,1
