Transaction Date,Customer ID,Customer Name,Order ID,Product ID,Product Name,Product Category,Quantity,Unit Price,Total Amount,Transaction Type,Return Reason
12/22/2023,C369,Customer 369,ORD00001,P046,Premium Athletic Outerwear,Outerwear,2,238.48,476.96,PURCHASE,
08/08/2023,C187,Customer 187,ORD00002,P021,Basic Athletic Swimwear,Swimwear,1,128.01,128.01,PURCHASE,
01/15/2023,C422,Customer 422,ORD00003,P025,Slim Vintage Shirts,Shirts,2,90.71,181.42,PURCHASE,
06/30/2023,C133,Customer 133,ORD00004,P044,Deluxe Modern Accessories,Accessories,1,247.62,247.62,PURCHASE,
05/16/2023,C129,Customer 129,ORD00005,P016,Luxury Casual Dresses,Dresses,2,159.32,318.64,PURCHASE,
05/20/2023,C129,Customer 129,ORD00005,P016,Luxury Casual Dresses,Dresses,-2,159.32,-318.64,RETURN,Wrong Size
06/16/2023,C208,Customer 208,ORD00006,P033,Ultra Casual Dresses,Dresses,1,208.62,208.62,PURCHASE,
06/30/2023,C208,Customer 208,ORD00006,P033,Ultra Casual Dresses,Dresses,-1,208.62,-208.62,RETURN,Fit Issues
12/27/2023,C205,Customer 205,ORD00007,P037,Deluxe Vintage Shirts,Shirts,3,129.15,387.45,PURCHASE,
02/05/2023,C360,Customer 360,ORD00008,P014,Luxury Formal Footwear,Footwear,2,213.95,427.9,PURCHASE,
02/09/2023,C360,Customer 360,ORD00008,P014,Luxury Formal Footwear,Footwear,-2,213.95,-427.9,RETURN,Fit Issues
06/25/2023,C458,Customer 458,ORD00009,P050,Classic Casual Jackets,Jackets,3,180.01,540.03,PURCHASE,
08/03/2023,C389,Customer 389,ORD00010,P014,Luxury Formal Footwear,Footwear,1,213.95,213.95,PURCHASE,
08/13/2023,C389,Customer 389,ORD00010,P014,Luxury Formal Footwear,Footwear,-1,213.95,-213.95,RETURN,Better Price Found
10/16/2023,C481,Customer 481,ORD00011,P038,Classic Formal Activewear,Activewear,1,41.55,41.55,PURCHASE,
02/25/2023,C492,Customer 492,ORD00012,P038,Classic Formal Activewear,Activewear,3,41.55,124.65,PURCHASE,
03/15/2023,C097,Customer 97,ORD00013,P031,Classic Vintage Swimwear,Swimwear,2,282.96,565.92,PURCHASE,
03/22/2023,C097,Customer 97,ORD00013,P031,Classic Vintage Swimwear,Swimwear,-2,282.96,-565.92,RETURN,Quality Issues
05/17/2023,C124,Customer 124,ORD00014,P015,Signature Formal Jackets,Jackets,3,78.25,234.75,PURCHASE,
02/15/2023,C188,Customer 188,ORD00015,P005,Slim Vintage Pants,Pants,2,225.34,450.68,PURCHASE,
01/12/2023,C088,Customer 88,ORD00016,P048,Luxury Formal Footwear,Footwear,1,28.94,28.94,PURCHASE,
10/30/2023,C479,Customer 479,ORD00017,P041,Relaxed Casual Activewear,Activewear,1,254.31,254.31,PURCHASE,
05/18/2023,C266,Customer 266,ORD00018,P040,Ultra Casual Underwear,Underwear,1,143.86,143.86,PURCHASE,
09/25/2023,C323,Customer 323,ORD00019,P012,Premium Modern Dresses,Dresses,2,54.8,109.6,PURCHASE,
10/08/2023,C323,Customer 323,ORD00019,P012,Premium Modern Dresses,Dresses,-2,54.8,-109.6,RETURN,Fit Issues
08/12/2023,C279,Customer 279,ORD00020,P017,Basic Athletic Jackets,Jackets,2,275.6,551.2,PURCHASE,
08/18/2023,C230,Customer 230,ORD00021,P018,Deluxe Casual Underwear,Underwear,2,175.89,351.78,PURCHASE,
08/29/2023,C230,Customer 230,ORD00021,P018,Deluxe Casual Underwear,Underwear,-2,175.89,-351.78,RETURN,Fit Issues
01/10/2023,C341,Customer 341,ORD00022,P043,Deluxe Formal Underwear,Underwear,2,79.21,158.42,PURCHASE,
12/21/2023,C485,Customer 485,ORD00023,P033,Ultra Casual Dresses,Dresses,1,208.62,208.62,PURCHASE,
01/01/2024,C485,Customer 485,ORD00023,P033,Ultra Casual Dresses,Dresses,-1,208.62,-208.62,RETURN,Style Not as Expected
09/15/2023,C246,Customer 246,ORD00024,P031,Classic Vintage Swimwear,Swimwear,3,282.96,848.88,PURCHASE,
01/31/2023,C332,Customer 332,ORD00025,P015,Signature Formal Jackets,Jackets,1,78.25,78.25,PURCHASE,
